Timestamp,BoardA_Moisture_1,BoardA_Temp_1,BoardA_Moisture_2,BoardA_Temp_2,Light_Lux,Si7021_Temp,Si7021_Humidity,BoardB_Moisture_1,BoardB_Temp_1,BoardB_Moisture_2,BoardB_Temp_2
2025-06-07 17:18:05,0.05,20.43,0.02,17.77,120.83,22.33,65.47,0.00,17.50,0.00,17.00
2025-06-07 17:18:07,0.04,20.03,0.02,17.45,120.00,22.32,65.45,0.00,17.80,0.00,17.00
2025-06-07 17:18:09,0.04,20.35,0.03,17.93,119.17,22.32,65.48,0.00,19.00,0.00,17.50
2025-06-07 17:18:11,0.05,21.48,0.02,18.01,120.00,22.31,65.47,0.00,17.60,0.00,17.50
2025-06-07 17:18:13,0.05,19.79,0.14,18.26,120.00,22.28,65.48,0.00,17.70,0.00,16.80
2025-06-07 17:18:15,0.04,20.51,0.02,17.77,120.00,22.28,65.47,0.00,17.60,0.00,17.60
2025-06-07 17:18:17,0.05,20.03,0.02,18.10,119.17,22.28,65.45,0.00,17.90,0.00,16.80
2025-06-07 17:18:19,0.05,20.19,0.02,17.61,119.17,22.31,65.47,0.00,17.50,0.00,16.80
2025-06-07 17:18:22,0.05,19.30,0.02,16.81,119.17,22.29,65.48,0.00,17.60,0.00,16.60
2025-06-07 17:18:24,0.05,21.00,0.02,17.77,119.17,22.32,65.48,0.00,17.60,0.00,17.50
2025-06-07 17:18:26,0.01,19.87,0.02,16.89,119.17,22.32,65.50,0.00,17.80,0.00,17.00
2025-06-07 17:18:28,0.05,19.71,0.02,16.16,119.17,22.33,65.48,0.00,17.50,0.00,16.90
2025-06-07 17:18:30,0.73,20.03,0.03,17.77,118.33,22.32,65.48,0.00,18.00,0.00,17.00
2025-06-07 17:18:32,0.05,19.14,0.02,17.69,118.33,22.32,65.48,0.00,17.70,0.00,17.60
2025-06-07 17:18:34,0.04,19.14,0.02,16.81,117.50,22.32,65.47,0.00,17.50,0.00,17.00
2025-06-07 17:18:36,0.06,20.27,0.02,17.61,116.67,22.33,65.46,0.00,17.50,0.00,16.90
2025-06-07 17:18:38,0.05,19.79,0.02,18.18,116.67,22.31,65.48,0.00,17.60,0.00,17.00
2025-06-07 17:18:40,0.05,19.87,0.02,16.73,116.67,22.29,65.45,0.00,17.60,0.00,16.70
2025-06-07 17:18:42,0.05,21.00,0.02,17.85,115.83,22.32,65.45,0.00,17.50,0.00,17.00
2025-06-07 17:18:44,0.04,20.35,0.02,17.77,115.83,22.32,65.45,0.00,17.00,0.00,15.70
2025-06-07 17:18:46,0.05,20.11,0.02,16.97,115.83,22.32,65.46,0.00,17.40,0.00,16.60
2025-06-07 17:18:48,0.05,20.43,0.02,19.55,115.00,22.33,65.45,0.00,19.80,0.00,16.80
2025-06-07 17:18:50,0.05,20.03,0.02,18.10,115.00,22.29,65.48,0.00,17.50,0.00,16.60
2025-06-07 17:18:52,0.04,19.55,0.03,17.77,114.17,22.31,65.45,0.00,16.80,0.00,16.30
2025-06-07 17:18:54,0.05,20.67,0.03,17.93,113.33,22.29,65.44,0.00,17.00,0.00,16.50
2025-06-07 17:18:56,0.05,20.27,0.02,17.61,113.33,22.33,65.45,0.10,17.50,0.00,16.60
2025-06-07 17:18:59,0.05,19.14,0.02,16.64,112.50,,,,,,
2025-06-07 17:19:01,0.05,19.87,0.02,17.77,112.50,22.29,65.46,0.00,17.00,0.00,16.60
2025-06-07 17:19:03,0.05,20.27,0.03,17.85,111.67,22.33,65.46,0.00,17.00,0.00,16.80
2025-06-07 17:19:05,0.04,19.55,0.02,18.98,111.67,22.31,65.45,0.00,16.50,0.00,16.80
2025-06-07 17:19:07,0.05,18.98,0.02,16.97,110.83,22.32,65.45,0.00,16.60,0.00,16.60
2025-06-07 17:19:09,0.04,18.58,0.03,18.18,110.00,22.31,65.45,0.00,17.00,0.00,16.80
2025-06-07 17:19:11,0.00,20.27,0.02,17.77,110.00,22.31,65.45,0.00,17.00,0.00,16.80
2025-06-07 17:19:13,0.06,19.22,0.02,16.64,109.17,22.33,65.45,0.00,17.00,0.00,16.70
2025-06-07 17:19:15,0.05,19.06,0.02,17.53,107.50,22.31,65.45,0.00,17.50,0.00,17.00
2025-06-07 17:19:17,0.11,20.35,0.02,17.69,108.33,22.29,65.44,0.00,17.00,0.00,16.50
2025-06-07 17:19:19,0.05,19.22,0.02,9.23,108.33,22.31,65.45,0.00,16.60,0.00,17.00
2025-06-07 17:19:21,0.05,18.82,0.02,16.97,108.33,22.29,65.42,0.00,18.10,0.00,16.90
2025-06-07 17:19:23,0.05,20.35,0.02,17.77,105.00,22.29,65.43,0.00,17.40,0.00,16.60
2025-06-07 17:19:25,0.05,19.30,0.02,17.69,103.33,22.31,65.42,0.00,17.50,0.00,16.50
2025-06-07 17:19:27,0.05,19.47,0.02,17.77,103.33,22.32,65.44,0.00,18.10,0.00,17.00
2025-06-07 17:19:29,0.05,19.55,0.02,17.69,102.50,22.31,65.43,0.00,17.80,0.00,16.90
2025-06-07 17:19:31,0.05,19.55,0.02,17.45,100.83,22.29,65.45,0.00,17.80,0.00,17.00
2025-06-07 17:19:33,0.06,19.55,0.02,17.77,100.00,22.29,65.43,0.00,17.70,0.00,17.00
